HGNC ID	Approved Symbol	UniProt ID(supplied by UniProt)
HGNC:23499	AGAP13P	
HGNC:23660	AGAP14P	A8MT82
HGNC:26504	AGBL1	Q96MI9
HGNC:48617	AGBL1-AS1	
HGNC:26296	AGBL2	Q5U5Z8
HGNC:27981	AGBL3	Q8NEM8
HGNC:25892	AGBL4	Q5VU57
HGNC:41482	AGBL4-IT1	
HGNC:26147	AGBL5	Q8NDL9
HGNC:41133	AGBL5-AS1	
HGNC:41484	AGBL5-IT1	
HGNC:320	AGER	Q15109
HGNC:5175	AGFG1	P52594
HGNC:5177	AGFG2	O95081
HGNC:24684	AGGF1	Q8N302
HGNC:38051	AGGF1P1	
HGNC:38052	AGGF1P2	
HGNC:38053	AGGF1P3	
HGNC:38054	AGGF1P4	
HGNC:51741	AGGF1P5	
HGNC:51744	AGGF1P6	
HGNC:51740	AGGF1P7	
HGNC:51745	AGGF1P8	
HGNC:51746	AGGF1P9	
HGNC:51747	AGGF1P10	
HGNC:21869	AGK	Q53H12
HGNC:37661	AGKP1	
HGNC:321	AGL	P35573
HGNC:18407	AGMAT	Q9BSE5
HGNC:33784	AGMO	Q6ZNB7
HGNC:323	AGMX2	
HGNC:3262	AGO1	Q9UL18
HGNC:3263	AGO2	Q9UKV8
HGNC:18421	AGO3	Q9H9G7
HGNC:18424	AGO4	Q9HCK5
HGNC:324	AGPAT1	Q99943
HGNC:325	AGPAT2	O15120
HGNC:326	AGPAT3	Q9NRZ7
HGNC:20885	AGPAT4	Q9NRZ5
HGNC:20988	AGPAT4-IT1	Q9H0P7
HGNC:20886	AGPAT5	Q9NUQ2
HGNC:37709	AGPAT5P1	
HGNC:327	AGPS	O00116
HGNC:328	AGR2	O95994
HGNC:24167	AGR3	Q8TD06
HGNC:329	AGRN	O00468
HGNC:330	AGRP	O00253
HGNC:333	AGT	P01019
HGNC:17258	AGTPBP1	Q9UPW5
HGNC:336	AGTR1	P30556
HGNC:338	AGTR2	P50052
HGNC:13539	AGTRAP	Q6RW13
HGNC:341	AGXT	P21549
HGNC:14412	AGXT2	Q9BYV1
HGNC:24618	AHCTF1	Q8WYP5
HGNC:24620	AHCTF1P1	
HGNC:343	AHCY	P23526
HGNC:344	AHCYL1	O43865
HGNC:22204	AHCYL2	Q96HN2
HGNC:44993	AHCYP1	
HGNC:44994	AHCYP2	
HGNC:44995	AHCYP3	
HGNC:44996	AHCYP4	
HGNC:44997	AHCYP5	
HGNC:44998	AHCYP6	
HGNC:44999	AHCYP7	
HGNC:45000	AHCYP8	
HGNC:25230	AHDC1	Q5TGY3
HGNC:21575	AHI1	Q8N157
HGNC:347	AHNAK	Q09666
HGNC:20125	AHNAK2	Q8IVF2
HGNC:348	AHR	P35869
HGNC:346	AHRR	A9YTQ3
HGNC:1189	AHSA1	O95433
HGNC:20437	AHSA2	Q719I0
HGNC:349	AHSG	P02765
HGNC:18075	AHSP	Q9NZD4
HGNC:350	AIC	
HGNC:13203	AICDA	Q9GZX7
HGNC:25761	AIDA	Q96BJ3
HGNC:352	AIF1	P55008
HGNC:28904	AIF1L	Q9BQI0
HGNC:8768	AIFM1	O95831
HGNC:44884	AIFM1P1	
HGNC:21411	AIFM2	Q9BRQ8
HGNC:26398	AIFM3	Q96NN9
HGNC:21607	AIG1	Q9NVV5
HGNC:43926	AIG1P1	
HGNC:355	AIH3	
HGNC:356	AIM1	Q9Y4K1
HGNC:17295	AIM1L	Q8N1P7
HGNC:357	AIM2	O14862
HGNC:10648	AIMP1	Q12904
HGNC:16543	AIMP1P1	
HGNC:43693	AIMP1P2	
HGNC:20609	AIMP2	Q13155
HGNC:358	AIP	O00170
HGNC:359	AIPL1	Q9NZN9
HGNC:360	AIRE	O43918
HGNC:34515	AIRN	
HGNC:16304	AIS1	
HGNC:23054	AIS2	
HGNC:23083	AIS3	
HGNC:30801	AJAP1	Q9UKB5
HGNC:20250	AJUBA	Q96IF1
HGNC:361	AK1	P00568
HGNC:362	AK2	P54819
HGNC:24037	AK2P1	
HGNC:33542	AK2P2	
HGNC:17376	AK3	Q9UIJ7
HGNC:31099	AK3P2	
HGNC:39062	AK3P3	
HGNC:39063	AK3P4	
HGNC:39064	AK3P5	
HGNC:39065	AK3P6	
HGNC:363	AK4	P27144
HGNC:364	AK4P1	
HGNC:39066	AK4P2	
HGNC:21596	AK4P3	
HGNC:39067	AK4P4	
HGNC:39068	AK4P5	
HGNC:39069	AK4P6	
HGNC:365	AK5	Q9Y6K8
HGNC:49151	AK6	Q9Y3D8
HGNC:51678	AK6P1	
HGNC:51679	AK6P2	
HGNC:20091	AK7	Q96M32
HGNC:26526	AK8	Q96MA6
HGNC:33814	AK9	Q5TCS8
HGNC:367	AKAP1	Q92667
HGNC:372	AKAP2	Q9Y2D5
HGNC:373	AKAP3	O75969
HGNC:374	AKAP4	Q5JQC9
HGNC:375	AKAP5	P24588
HGNC:376	AKAP6	Q13023
HGNC:377	AKAP7	O43687
HGNC:378	AKAP8	O43823
HGNC:29857	AKAP8L	Q9ULX6
HGNC:49758	AKAP8P1	
HGNC:379	AKAP9	Q99996
HGNC:368	AKAP10	O43572
HGNC:369	AKAP11	Q9UKA4
HGNC:370	AKAP12	Q02952
HGNC:371	AKAP13	Q12802
HGNC:24061	AKAP14	Q86UN6
HGNC:18783	AKAP17A	Q02040
HGNC:38514	AKAP17BP	
HGNC:1170	AKIP1	Q9NQ31
HGNC:25744	AKIRIN1	Q9H9L7
HGNC:50794	AKIRIN1P1	
HGNC:50797	AKIRIN1P2	
HGNC:21407	AKIRIN2	Q53H80
HGNC:50796	AKIRIN2P1	
HGNC:24108	AKNA	Q7Z591
HGNC:28398	AKNAD1	Q5T1N1
HGNC:380	AKR1A1	P14550
HGNC:381	AKR1B1	P15121
HGNC:420	AKR1B1P1	
HGNC:425	AKR1B1P2	
HGNC:422	AKR1B1P3	
HGNC:423	AKR1B1P4	
HGNC:20002	AKR1B1P5	
